inpro,incity,outpro,outcity,cargo
湖南,常德市,安徽,蚌埠市,0.8090255
黑龙江,鹤岗市,安徽,亳州市,0.119828097
云南,楚雄州,安徽,宣城市,0.358275997
安徽,淮南市,安徽,池州市,0.994202004
山东,东营市,安徽,淮北市,0.061993286
新疆,博尔塔拉州,安徽,池州市,0.507057887
河南,信阳市,安徽,亳州市,0.054590219
陕西,商洛市,安徽,淮北市,0.455676667
内蒙古,呼和浩特市,安徽,亳州市,0.066846896
北京,通州区,安徽,铜陵市,0.189340263
天津,东丽区,安徽,铜陵市,0.596168466
山西,朔州市,安徽,宿州市,0.185119705
新疆,伊犁州,安徽,亳州市,0.970320557
辽宁,抚顺市,安徽,淮北市,0.59877622
四川,攀枝花市,安徽,池州市,0.980036434
广东,韶关市,安徽,蚌埠市,0.055394214
浙江,杭州市,安徽,蚌埠市,0.221335819
海南,万宁市,安徽,黄山市,0.0566083
湖南,娄底市,安徽,滁州市,0.99202394
湖南,张家界市,安徽,合肥市,0.572529223
西藏,阿里地区,安徽,亳州市,0.389126178
辽宁,沈阳市,安徽,蚌埠市,0.696643393
重庆,南岸区,安徽,宣城市,0.125868463
陕西,安康市,安徽,阜阳市,0.825647641
北京,平谷区,安徽,淮北市,0.943531944
北京,朝阳区,安徽,芜湖市,0.693588399
北京,门头沟,安徽,亳州市,0.53672543
天津,东丽区,安徽,淮南市,0.429058876
辽宁,营口市,安徽,合肥市,0.654831283
重庆,奉节县,安徽,池州市,0.895301838
四川,巴中市,安徽,宣城市,0.859885007
宁夏,石嘴山市,安徽,黄山市,0.266872387
河北,承德市,安徽,滁州市,0.254291139
海南,临高县,安徽,安庆市,0.285153693
湖北,随州市,安徽,安庆市,0.738977889
四川,泸州市,安徽,池州市,0.812582674
广东,佛山市,安徽,宣城市,0.398751054
广西,梧州市,安徽,安庆市,0.285237741
新疆,巴音郭楞州,安徽,宿州市,0.335310588
西藏,阿里地区,安徽,马鞍山市,0.171331172
湖南,邵阳市,安徽,马鞍山市,0.235692841
西藏,山南地区,安徽,亳州市,0.275844725
四川,绵阳市,安徽,阜阳市,0.627933628
新疆,哈密地区,安徽,芜湖市,0.173247857
海南,昌江县,安徽,亳州市,0.437097233
辽宁,朝阳市,安徽,六安市,0.668280447
重庆,北部新区,安徽,宿州市,0.107223054
广东,东莞市,安徽,淮南市,0.143181517
河南,南阳市,安徽,马鞍山市,0.413577524
湖北,咸宁市,安徽,六安市,0.914299076
重庆,开州区,安徽,芜湖市,0.930370202
山东,泰安市,安徽,蚌埠市,0.322237057
新疆,阿勒泰地区,安徽,宿州市,0.771110545
重庆,涪陵区,安徽,黄山市,0.930524984
上海,松江区,安徽,淮北市,0.715923955
天津,红桥区,安徽,淮北市,0.136788607
江苏,苏州市,安徽,合肥市,0.624897304
江西,吉安市,安徽,淮南市,0.874485042
江西,萍乡市,安徽,宣城市,0.384504353
云南,西双版纳州,安徽,宣城市,0.325975046
广东,广州市,安徽,铜陵市,0.902285461
广东,珠海市,安徽,芜湖市,0.359825661
江苏,连云港市,安徽,合肥市,0.541217576
吉林,通化市,安徽,阜阳市,0.004192609
四川,内江市,安徽,阜阳市,0.367332731
江苏,扬州市,安徽,六安市,0.55389105
河北,承德市,安徽,蚌埠市,0.960483188
上海,黄浦区,安徽,淮南市,0.136773348
北京,东城区,安徽,铜陵市,0.301109161
海南,儋州市,安徽,池州市,0.40204891
青海,黄南州,安徽,铜陵市,0.828344064
安徽,芜湖市,安徽,六安市,0.567956393
安徽,蚌埠市,安徽,马鞍山市,0.129148789
广西,百色市,安徽,黄山市,0.270724543
河北,邢台市,安徽,安庆市,0.130301146
海南,澄迈县,安徽,滁州市,0.955485075
福建,泉州市,安徽,滁州市,0.709134501
辽宁,锦州市,安徽,铜陵市,0.837114456
陕西,榆林市,安徽,合肥市,0.773054978
陕西,铜川市,安徽,六安市,0.572266217
海南,屯昌县,安徽,合肥市,0.565202955
陕西,榆林市,安徽,淮北市,0.730078106
湖北,随州市,安徽,蚌埠市,0.242424641
甘肃,陇南市,安徽,合肥市,0.140815769
吉林,松原市,安徽,宿州市,0.438407055
江苏,南通市,安徽,亳州市,0.43239968
江西,抚州市,安徽,池州市,0.116588487
河南,信阳市,安徽,池州市,0.750934127
海南,临高县,安徽,阜阳市,0.145070249
黑龙江,鸡西市,安徽,宣城市,0.461875728
上海,静安区,安徽,淮南市,0.026728821
四川,甘孜州,安徽,铜陵市,0.098671121
江西,上饶市,安徽,阜阳市,0.569247345
河南,驻马店市,安徽,马鞍山市,0.706753293
湖北,鄂州市,安徽,淮南市,0.552038787
重庆,丰都县,安徽,铜陵市,0.157614495
青海,海东地区,安徽,芜湖市,0.090618103
黑龙江,佳木斯市,安徽,池州市,0.259496717
黑龙江,牡丹江市,安徽,合肥市,0.76294976
上海,静安区,安徽,亳州市,0.55609081
内蒙古,乌海市,安徽,池州市,0.595933015
陕西,宝鸡市,安徽,淮南市,0.605564021
山东,青岛市,安徽,阜阳市,0.690628012
海南,临高县,安徽,芜湖市,0.885304792
湖北,鄂州市,安徽,宿州市,0.187471135
湖北,黄石市,安徽,亳州市,0.907599441
福建,漳州市,安徽,亳州市,0.64349556
辽宁,锦州市,安徽,马鞍山市,0.303609501
河南,濮阳市,安徽,芜湖市,0.462312553
吉林,延边州,安徽,安庆市,0.658991418
四川,南充市,安徽,宣城市,0.701691506
天津,武清区,安徽,马鞍山市,0.772304774
河南,商丘市,安徽,池州市,0.751281538
海南,万宁市,安徽,蚌埠市,0.45905657
湖南,永州市,安徽,蚌埠市,0.000121877
甘肃,金昌市,安徽,亳州市,0.482830577
西藏,日喀则地区,安徽,蚌埠市,0.30416153
四川,巴中市,安徽,铜陵市,0.966058869
安徽,安庆市,安徽,安庆市,0.810696726
湖南,娄底市,安徽,滁州市,0.878948664
甘肃,金昌市,安徽,滁州市,0.948036463
黑龙江,大兴安岭地区,安徽,淮南市,0.347521253
天津,北辰区,安徽,六安市,0.452571952
广东,江门市,安徽,铜陵市,0.213869296
广东,肇庆市,安徽,合肥市,0.761546085
新疆,乌鲁木齐市,安徽,亳州市,0.748719112
新疆,博尔塔拉州,安徽,宿州市,0.424764185
海南,海口市,安徽,铜陵市,0.409947196
云南,临沧市,安徽,六安市,0.161472466
天津,西青区,安徽,安庆市,0.369064185
河北,唐山市,安徽,蚌埠市,0.587786203
海南,澄迈县,安徽,合肥市,0.019623238
湖北,荆门市,安徽,池州市,0.57226298
重庆,万州区,安徽,黄山市,0.353150901
陕西,西安市,安徽,马鞍山市,0.317858904
新疆,阿克苏地区,安徽,池州市,0.248559414
湖北,仙桃市,安徽,马鞍山市,0.980099704
湖南,长沙市,安徽,合肥市,0.242838706
山西,运城市,安徽,马鞍山市,0.203519649
广东,阳江市,安徽,淮北市,0.477309781
新疆,铁门关市,安徽,合肥市,0.948174429
内蒙古,阿拉善盟,安徽,合肥市,0.86665955
四川,南充市,安徽,马鞍山市,0.308838966
湖北,宜昌市,安徽,黄山市,0.984494912
陕西,西安市,安徽,淮南市,0.466817595
云南,临沧市,安徽,宿州市,0.32593557
安徽,亳州市,安徽,马鞍山市,0.213810093
山东,莱芜市,安徽,安庆市,0.17314511
广西,桂林市,安徽,六安市,0.734243943
海南,三沙市,安徽,宿州市,0.035475932
海南,琼中县,安徽,芜湖市,0.685043966
湖北,襄阳市,安徽,芜湖市,0.450690983
福建,宁德市,安徽,六安市,0.801540645
贵州,黔南州,安徽,铜陵市,0.706511975
重庆,沙坪坝区,安徽,芜湖市,0.365332148
上海,奉贤区,安徽,滁州市,0.491130539
山西,运城市,安徽,宣城市,0.278036508
浙江,宁波市,安徽,六安市,0.625973003
湖北,恩施州,安徽,淮北市,0.951975798
贵州,铜仁市,安徽,铜陵市,0.034520827
重庆,大足区,安徽,合肥市,0.798155029
广东,梅州市,安徽,六安市,0.04759482
广西,钦州市,安徽,蚌埠市,0.180556873
新疆,阿克苏地区,安徽,马鞍山市,0.592600046
辽宁,大连市,安徽,阜阳市,0.875288806
陕西,西安市,安徽,宣城市,0.511422483
江苏,无锡市,安徽,蚌埠市,0.059917909
湖南,长沙市,安徽,芜湖市,0.59072909
福建,龙岩市,安徽,芜湖市,0.480534791
重庆,合川区,安徽,池州市,0.171391825
重庆,黔江区,安徽,阜阳市,0.73296572
四川,达州市,安徽,滁州市,0.27822786
河北,秦皇岛市,安徽,亳州市,0.209624774
四川,广安市,安徽,六安市,0.510744022
天津,宝坻区,安徽,滁州市,0.122060539
新疆,哈密地区,安徽,滁州市,0.968644188
河南,洛阳市,安徽,淮北市,0.985951803
湖南,湘西州,安徽,滁州市,0.440405741
贵州,黔西南州,安徽,淮南市,0.193541595
重庆,綦江区,安徽,芜湖市,0.757505654
北京,西城区,安徽,芜湖市,0.174028505
天津,河西区,安徽,铜陵市,0.583493478
山东,莱芜市,安徽,亳州市,0.250776096
广西,北海市,安徽,六安市,0.691447559
江苏,常州市,安徽,淮南市,0.655915996
河北,承德市,安徽,芜湖市,0.800480392
陕西,汉中市,安徽,池州市,0.519145052
北京,东城区,安徽,宿州市,0.841336175
山东,德州市,安徽,阜阳市,0.449031149
江苏,常州市,安徽,宣城市,0.084842652
甘肃,临夏州,安徽,铜陵市,0.684200508
贵州,黔西南州,安徽,宿州市,0.637386147
山东,菏泽市,安徽,安庆市,0.365067218
河南,驻马店市,安徽,黄山市,0.75009491
海南,五指山市,安徽,淮南市,0.343139067
广东,广州市,安徽,滁州市,0.516587435
广东,梅州市,安徽,蚌埠市,0.651573102
甘肃,天水市,安徽,宣城市,0.38821614
甘肃,平凉市,安徽,合肥市,0.689857068
北京,昌平区,安徽,马鞍山市,0.012497995
安徽,淮南市,安徽,六安市,0.713221218
山西,朔州市,安徽,宣城市,0.445172283
江苏,镇江市,安徽,宣城市,0.710748226
河北,邯郸市,安徽,宿州市,0.73419768
吉林,通化市,安徽,宿州市,0.162174625
广西,桂林市,安徽,芜湖市,0.036030133
新疆,五家渠市,安徽,宣城市,0.350239718
江苏,南通市,安徽,池州市,0.691660179
河南,驻马店市,安徽,铜陵市,0.839011575
海南,白沙县,安徽,芜湖市,0.849182954
湖南,常德市,安徽,淮南市,0.681602468
内蒙古,乌海市,安徽,铜陵市,0.10350879
新疆,哈密地区,安徽,宣城市,0.125157539
湖北,襄阳市,安徽,铜陵市,0.577544712
安徽,宿州市,安徽,滁州市,0.431819819
河南,驻马店市,安徽,宣城市,0.594872994
海南,五指山市,安徽,阜阳市,0.972981431
湖北,神农架林区,安徽,六安市,0.717026803
湖南,长沙市,安徽,黄山市,0.472327475
青海,西宁市,安徽,亳州市,0.320140363
广东,潮州市,安徽,马鞍山市,0.948594345
贵州,黔南州,安徽,阜阳市,0.234653744
上海,浦东新区,安徽,黄山市,0.196250657
北京,海淀区,安徽,马鞍山市,0.411859707
天津,汉沽区,安徽,亳州市,0.361827834
广东,茂名市,安徽,阜阳市,0.288346016
江苏,镇江市,安徽,芜湖市,0.958083158
江西,宜春市,安徽,合肥市,0.833746536
河南,信阳市,安徽,滁州市,0.525494395
海南,临高县,安徽,芜湖市,0.952247317
西藏,林芝市,安徽,池州市,0.532529893
贵州,遵义市,安徽,阜阳市,0.497508997
陕西,宝鸡市,安徽,池州市,0.733944196
安徽,滁州市,安徽,亳州市,0.537055368
甘肃,临夏州,安徽,淮北市,0.498575202
福建,南平市,安徽,合肥市,0.822145982
上海,杨浦区,安徽,池州市,0.197856308
四川,甘孜州,安徽,宿州市,0.577680378
天津,宝坻区,安徽,黄山市,0.681987035
广东,韶关市,安徽,黄山市,0.739097961
河南,许昌市,安徽,宣城市,0.699723689
湖北,黄石市,安徽,亳州市,0.652133529
北京,丰台区,安徽,滁州市,0.595610531
天津,东丽区,安徽,安庆市,0.687800739
宁夏,石嘴山市,安徽,合肥市,0.926048697
湖北,天门市,安徽,淮南市,0.257003942
湖北,随州市,安徽,阜阳市,0.68856827
甘肃,陇南市,安徽,安庆市,0.742738408
辽宁,抚顺市,安徽,淮北市,0.331271331
新疆,喀什地区,安徽,阜阳市,0.094644348
江西,抚州市,安徽,亳州市,0.261683345
浙江,金华市,安徽,蚌埠市,0.561719248
湖北,襄阳市,安徽,宣城市,0.445799216
重庆,綦江区,安徽,合肥市,0.436168757
吉林,松原市,安徽,六安市,0.211272456
四川,德阳市,安徽,黄山市,0.023676062
江西,新余市,安徽,宿州市,0.853966075
江西,萍乡市,安徽,亳州市,0.46353921
重庆,北碚区,安徽,黄山市,0.286644704
江苏,连云港市,安徽,宣城市,0.352619817
西藏,林芝市,安徽,马鞍山市,0.124226801
江西,抚州市,安徽,安庆市,0.466284271
海南,琼海市,安徽,宣城市,0.048140122
云南,大理州,安徽,六安市,0.390380546
四川,攀枝花市,安徽,阜阳市,0.875526175
甘肃,酒泉市,安徽,亳州市,0.835500608
福建,厦门市,安徽,合肥市,0.71732818
青海,海西州,安徽,淮北市,0.101371487
天津,武清区,安徽,阜阳市,0.973162662
安徽,安庆市,安徽,安庆市,0.398578466
安徽,芜湖市,安徽,滁州市,0.92867119
广东,潮州市,安徽,宿州市,0.844302843
黑龙江,大庆市,安徽,芜湖市,0.539865546
四川,广元市,安徽,阜阳市,0.241729998
天津,蓟州区,安徽,芜湖市,0.52798922
河南,南阳市,安徽,铜陵市,0.674147282
海南,琼中县,安徽,安庆市,0.477944991
湖南,岳阳市,安徽,安庆市,0.779339458
重庆,丰都县,安徽,铜陵市,0.444874193
青海,西宁市,安徽,淮北市,0.984581162
北京,顺义区,安徽,六安市,0.752928685
河北,廊坊市,安徽,蚌埠市,0.846536901
河南,安阳市,安徽,淮南市,0.163243033
海南,琼中县,安徽,池州市,0.254705693
陕西,咸阳市,安徽,滁州市,0.472944309
四川,自贡市,安徽,淮北市,0.702959334
广西,钦州市,安徽,黄山市,0.835179228
江西,上饶市,安徽,滁州市,0.401581675
江西,赣州市,安徽,铜陵市,0.069319588
河北,衡水市,安徽,蚌埠市,0.708503266
湖北,荆门市,安徽,池州市,0.153580169
甘肃,兰州市,安徽,淮南市,0.277925243
重庆,荣昌区,安徽,淮南市,0.911637615
天津,红桥区,安徽,芜湖市,0.298160543
新疆,克拉玛依市,安徽,淮南市,0.820885001
河北,张家口市,安徽,池州市,0.321546248
辽宁,丹东市,安徽,淮北市,0.379617992
辽宁,沈阳市,安徽,合肥市,0.712114398
北京,通州区,安徽,宣城市,0.549076478
天津,宁河区,安徽,铜陵市,0.346501524
安徽,铜陵市,安徽,淮南市,0.56133873
江苏,镇江市,安徽,淮南市,0.209935347
陕西,安康市,安徽,六安市,0.420231428
上海,徐汇区,安徽,蚌埠市,0.116911026
北京,朝阳区,安徽,蚌埠市,0.382585382
山西,吕梁市,安徽,亳州市,0.766896867
江苏,扬州市,安徽,宿州市,0.275597596
江西,宜春市,安徽,黄山市,0.464564099
上海,徐汇区,安徽,黄山市,0.227721265
云南,怒江州,安徽,滁州市,0.009989858
云南,普洱市,安徽,芜湖市,0.357220719
北京,朝阳区,安徽,安庆市,0.612827793
天津,西青区,安徽,合肥市,0.676622603
山东,德州市,安徽,滁州市,0.242447503
山东,泰安市,安徽,亳州市,0.782644694
新疆,博尔塔拉州,安徽,宿州市,0.388750534
西藏,山南地区,安徽,黄山市,0.347509575
西藏,拉萨市,安徽,蚌埠市,0.104483322
青海,黄南州,安徽,宿州市,0.630966726
上海,松江区,安徽,蚌埠市,0.280305061
广西,河池市,安徽,阜阳市,0.499469217
浙江,舟山市,安徽,马鞍山市,0.277857046
湖南,张家界市,安徽,宣城市,0.128030939
黑龙江,鸡西市,安徽,安庆市,0.363790809
云南,玉溪市,安徽,黄山市,0.536968033
安徽,滁州市,安徽,芜湖市,0.671043735
河南,安阳市,安徽,滁州市,0.137504574
甘肃,陇南市,安徽,芜湖市,0.365924662
福建,南平市,安徽,淮北市,0.51158063
青海,海西州,安徽,滁州市,0.124253786
江苏,泰州市,安徽,池州市,0.809893426
河南,南阳市,安徽,阜阳市,0.465766612
海南,白沙县,安徽,安庆市,0.335157982
重庆,南川区,安徽,六安市,0.421453615
安徽,蚌埠市,安徽,淮北市,0.998427343
广东,茂名市,安徽,马鞍山市,0.906084605
新疆,巴音郭楞州,安徽,蚌埠市,0.523326234
河北,邢台市,安徽,安庆市,0.281017732
云南,迪庆州,安徽,合肥市,0.820267079
四川,乐山市,安徽,滁州市,0.193208103
天津,大港区,安徽,黄山市,0.157669722
天津,西青区,安徽,宣城市,0.936606068
江西,抚州市,安徽,合肥市,0.414279568
重庆,忠县,安徽,安庆市,0.828787163
重庆,梁平区,安徽,六安市,0.704162066
重庆,渝北区,安徽,淮北市,0.051640651
黑龙江,伊春市,安徽,滁州市,0.738201503
黑龙江,哈尔滨市,安徽,淮南市,0.698040369
辽宁,铁岭市,安徽,亳州市,0.458326363
陕西,安康市,安徽,宿州市,0.662693364
上海,松江区,安徽,合肥市,0.506189724
北京,崇文区,安徽,黄山市,0.744219609
北京,海淀区,安徽,六安市,0.501837964
天津,南开区,安徽,马鞍山市,0.016430227
天津,宝坻区,安徽,淮南市,0.894797431
天津,汉沽区,安徽,淮北市,0.123521377
天津,河东区,安徽,安庆市,0.134745467
安徽,亳州市,安徽,六安市,0.757206646
山东,潍坊市,安徽,蚌埠市,0.438198668
广西,北海市,安徽,淮北市,0.699966694
新疆,喀什地区,安徽,宣城市,0.352485992
河北,廊坊市,安徽,安庆市,0.711453354
湖南,娄底市,安徽,淮南市,0.248307191
重庆,垫江县,安徽,宿州市,0.610515013
黑龙江,鸡西市,安徽,黄山市,0.996632843
山东,青岛市,安徽,马鞍山市,0.795752812
湖北,仙桃市,安徽,马鞍山市,0.767723117
甘肃,临夏州,安徽,宿州市,0.019117097
甘肃,酒泉市,安徽,淮北市,0.326226953
西藏,山南地区,安徽,淮北市,0.00148526
云南,楚雄州,安徽,淮北市,0.742013928
天津,宁河区,安徽,宣城市,0.4160789
安徽,芜湖市,安徽,亳州市,0.105094
甘肃,嘉峪关市,安徽,铜陵市,0.449788277
吉林,白城市,安徽,安庆市,0.980475569
广东,江门市,安徽,芜湖市,0.101359252
新疆,阿克苏地区,安徽,宣城市,0.49571906
福建,南平市,安徽,安庆市,0.340578761
青海,海东地区,安徽,池州市,0.527897957
天津,塘沽区,安徽,淮南市,0.386236533
天津,蓟州区,安徽,阜阳市,0.036854623
新疆,哈密地区,安徽,池州市,0.515596648
江西,上饶市,安徽,黄山市,0.000143134
河北,邢台市,安徽,淮南市,0.876703355
河南,开封市,安徽,滁州市,0.420367131
西藏,山南地区,安徽,亳州市,0.59275734
广东,肇庆市,安徽,马鞍山市,0.296142205
湖北,襄阳市,安徽,宣城市,0.574138607
江苏,徐州市,安徽,淮南市,0.605498071
江西,景德镇市,安徽,蚌埠市,0.982275348
重庆,北碚区,安徽,淮北市,0.831618144
重庆,沙坪坝区,安徽,铜陵市,0.359321564
黑龙江,伊春市,安徽,六安市,0.894832776
四川,阿坝州,安徽,黄山市,0.193711951
天津,河西区,安徽,淮北市,0.661004145
湖南,湘潭市,安徽,安庆市,0.104331989
湖南,益阳市,安徽,黄山市,0.458551785
甘肃,白银市,安徽,马鞍山市,0.997177217
陕西,商洛市,安徽,黄山市,0.929006232
上海,嘉定区,安徽,马鞍山市,0.808704956
山西,忻州市,安徽,黄山市,0.840368168
新疆,昆玉市,安徽,亳州市,0.821368974
海南,屯昌县,安徽,合肥市,0.920387972
海南,陵水县,安徽,芜湖市,0.537579245
云南,文山州,安徽,宿州市,0.918401732
北京,大兴区,安徽,淮南市,0.083151134
宁夏,银川市,安徽,芜湖市,0.628973089
山东,淄博市,安徽,阜阳市,0.105471472
广西,贺州市,安徽,铜陵市,0.337760368
河北,石家庄市,安徽,池州市,0.96941304
山东,威海市,安徽,马鞍山市,0.970580305
新疆,乌鲁木齐市,安徽,淮北市,0.938633794
新疆,石河子市,安徽,池州市,0.322429927
河北,沧州市,安徽,黄山市,0.233803681
浙江,丽水市,安徽,铜陵市,0.875346104
重庆,巫山县,安徽,安庆市,0.993648417
辽宁,抚顺市,安徽,芜湖市,0.553524294
广西,贵港市,安徽,合肥市,0.537865524
黑龙江,七台河市,安徽,安庆市,0.904998279
北京,宣武区,安徽,马鞍山市,0.915547879
吉林,辽源市,安徽,马鞍山市,0.106767501
江苏,南通市,安徽,安庆市,0.268583586
江苏,泰州市,安徽,合肥市,0.327956359
河南,郑州市,安徽,铜陵市,0.310264292
山东,淄博市,安徽,马鞍山市,0.389511875
江西,萍乡市,安徽,蚌埠市,0.318716323
重庆,北碚区,安徽,铜陵市,0.19586429
重庆,巫山县,安徽,淮北市,0.901065312
上海,静安区,安徽,亳州市,0.446360489
云南,曲靖市,安徽,芜湖市,0.312880116
天津,武清区,安徽,安庆市,0.70373644
江苏,苏州市,安徽,铜陵市,0.803879383
湖南,长沙市,安徽,池州市,0.808670365
福建,泉州市,安徽,合肥市,0.360609495
天津,南开区,安徽,芜湖市,0.648393144
山西,晋中市,安徽,蚌埠市,0.286900489
重庆,忠县,安徽,淮南市,0.820940949
内蒙古,包头市,安徽,芜湖市,0.520969134
四川,宜宾市,安徽,马鞍山市,0.464028047
甘肃,白银市,安徽,合肥市,0.560255321
黑龙江,牡丹江市,安徽,安庆市,0.335732498
天津,津南区,安徽,阜阳市,0.813399022
安徽,马鞍山市,安徽,亳州市,0.631628072
广东,茂名市,安徽,芜湖市,0.249516661
江西,吉安市,安徽,宿州市,0.474359891
甘肃,定西市,安徽,池州市,0.861479348
辽宁,盘锦市,安徽,黄山市,0.726574426
上海,嘉定区,安徽,池州市,0.741460388
湖北,武汉市,安徽,马鞍山市,0.660384862
福建,莆田市,安徽,阜阳市,0.573804507
辽宁,丹东市,安徽,芜湖市,0.69774227
江苏,南通市,安徽,阜阳市,0.63074466
江苏,苏州市,安徽,阜阳市,0.765798933
湖南,长沙市,安徽,黄山市,0.254670311
甘肃,庆阳市,安徽,池州市,0.227647473
重庆,巴南区,安徽,淮南市,0.535004752
重庆,沙坪坝区,安徽,合肥市,0.279135567
陕西,汉中市,安徽,宣城市,0.404205209
内蒙古,阿拉善盟,安徽,铜陵市,0.100193458
天津,东丽区,安徽,芜湖市,0.436279918
新疆,石河子市,安徽,阜阳市,0.045870168
河南,开封市,安徽,阜阳市,0.614776652
青海,海东地区,安徽,马鞍山市,0.125276261
北京,丰台区,安徽,宿州市,0.18498301
新疆,乌鲁木齐市,安徽,滁州市,0.937699284
